Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
17.07.2021,"31.518,6","31.384,4","31.914,8","31.207,8","58,06K","0,40%"
16.07.2021,"31.394,0","31.842,3","32.239,8","31.062,2","70,48K","-1,40%"
15.07.2021,"31.840,5","32.820,5","33.157,0","31.175,8","76,95K","-2,99%"
14.07.2021,"32.820,7","32.727,8","33.051,9","31.611,2","69,56K","0,28%"
13.07.2021,"32.728,1","33.106,1","33.307,7","32.259,5","60,04K","-1,16%"
12.07.2021,"33.113,0","34.228,3","34.598,0","32.662,8","63,24K","-3,26%"
11.07.2021,"34.227,7","33.510,8","34.580,6","33.319,8","35,72K","2,14%"
10.07.2021,"33.510,6","33.797,7","34.221,0","33.056,8","50,94K","-0,85%"
09.07.2021,"33.797,4","32.866,3","34.079,2","32.367,0","67,14K","2,83%"
08.07.2021,"32.866,3","33.859,4","33.923,2","32.146,9","108,09K","-2,96%"
07.07.2021,"33.867,8","34.228,7","35.036,6","33.801,3","72,03K","-1,05%"
06.07.2021,"34.225,6","33.688,5","35.062,0","33.581,7","83,63K","1,60%"
05.07.2021,"33.687,8","35.297,0","35.300,5","33.164,1","88,36K","-4,56%"
04.07.2021,"35.298,2","34.742,8","35.957,6","34.740,1","56,13K","1,60%"
03.07.2021,"34.742,8","33.814,2","34.909,8","33.363,3","55,69K","2,75%"
02.07.2021,"33.813,4","33.542,2","33.925,9","32.734,6","78,93K","0,80%"
01.07.2021,"33.543,6","35.030,7","35.032,7","32.839,2","27,41K","-4,23%"
